Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,SAP Doc Entry,SAP Obj Type,rate
,QO,20231211,20231211,20231211.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100011512,,,100011512,100011512,20231211.0,,4,USD,"-57,974.77","-3,284,394.71",,,55.3
,QO,20231213,20231212,20231212.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100011557,,,100011557,100011557,20231213.0,,3,USD,"-47,541.83","-2,633,817.38",,,55.3
,QO,20231213,20231212,20231212.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100011557,,,100011557,100011557,20231213.0,,3,USD,"-47,541.83","-2,633,817.38",,,55.3
,QO,20231219,20231219,20231124.0,OCT BILL,4Q04P,MCNK JV CORPORATION,14112,MB11,MAC2,100011660,BS000000135,NEHB023Z0002,MCNK CP,100011661,20231219.0,,1,PHP,269.21,269.21,,,
,QO,20231219,20231219,20231219.0,,4Q04P,MCNK JV CORPORATION,14112,MB11,MAC2,100011660,BS000000135,,100011660,100011660,20231219.0,,3,PHP,"-7,500.00","-7,500.00",,,
,QO,20231219,20231219,20231219.0,,4Q04P,MCNK JV CORPORATION,14112,HB02,ADMI,100011662,BS000000112,,100011662,100011662,20231219.0,,3,PHP,"-25,914.34","-25,914.34",,,
,QO,20231219,20231219,20231219.0,GAS10M2023,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011662,BS000000112,NEHB023Z0003,100011662,nan,,,1,PHP,462.76,462.76,,,
,QO,20231219,20231219,20231219.0,,4Q04P,MCNK JV CORPORATION,14112,HB02,ADMI,100011663,BS000000121,,100011663,100011663,20231219.0,,3,PHP,"-27,671.65","-27,671.65",,,
,QO,20231219,20231219,20231219.0,GAS 11M2023,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011663,BS000000121,NEHB023Z0004,100011663,nan,,,1,PHP,494.14,494.14,,,
,QO,20231221,20231221,20231221.0,SPACE RENTAL,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011800,RENTAL DEC2023 BS205,NCHB033Z0022,FY2023,nan,,,1,PHP,"2,915.75","2,915.75",,,
,QO,20231221,20231221,20231221.0,3Q FY2023,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011799,SERVICE FEE 3Q BS231,NCHB033Z0021,SRVC FEE,nan,,,1,PHP,"1,106.00","1,106.00",,,
,QO,20231221,20231221,20231221.0,OCS 8M2023,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011797,OCS AUG 2023 BS118,NCHB033Z0019,100011797,nan,,,1,PHP,24.8,24.8,,,
,QO,20231221,20231221,20231221.0,OCS 9M2023,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011796,OCS SEPT 2023 BS122,NCHB033Z0018,100011796,nan,,,1,PHP,37.2,37.2,,,
,QO,20231221,20231221,20231221.0,SECFEE 10M23,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011798,SEC FEE OCT BS116,NCHB033Z0020,100011798,nan,,,1,PHP,99.82,99.82,,,
,QO,20231221,20231221,20231221.0,,MW350,MARUBENI CORPORATION -,11310,HB02,ADMI,100011799,SERVICE FEE 3Q BS231,,100011799,100011799,20231221.0,,3,PHP,"-61,936.00","-61,936.00",,,
,QO,20231221,20231221,20231221.0,,MW350,MARUBENI CORPORATION -,11310,HB02,ADMI,100011800,RENTAL DEC2023 BS205,,100011800,100011800,20231221.0,,3,PHP,"-65,312.69","-65,312.69",,,
,QO,20231221,20231221,20231221.0,,MW350,MARUBENI CORPORATION -,14112,HB02,ADMI,100011796,OCS SEPT 2023 BS122,,100011796,100011796,20231221.0,,3,PHP,"-2,083.20","-2,083.20",,,
,QO,20231221,20231221,20231221.0,,MW350,MARUBENI CORPORATION -,14112,HB02,ADMI,100011797,OCS AUG 2023 BS118,,100011797,100011797,20231221.0,,3,PHP,"-1,388.80","-1,388.80",,,
,QO,20231221,20231221,20231221.0,,MW350,MARUBENI CORPORATION -,14112,HB02,ADMI,100011798,SEC FEE OCT BS116,,100011798,100011798,20231221.0,,3,PHP,"-5,589.44","-5,589.44",,,
,QO,20231228,20231228,20231228.0,FY2023,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100011843,RENTAL DEC2023 BS206,NCHB033Z0023,RENTAL,nan,,,1,PHP,"1,000.00","1,000.00",,,
,QO,20231228,20231228,20231228.0,,4Q07H,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",11310,HB02,ADMI,100011843,RENTAL DEC2023 BS206,,100011843,100011843,20231228.0,,3,PHP,"-22,400.00","-22,400.00",,,
,QO,20231229,20231229,20231229.0,,4Q958,SAN ROQUE POWER CORP -,11310,MA11,MAC1,100012065,"BS76, BS147, BS235",,100012065,100012065,20231229.0,,6,USD,"-12,040.00","-672,032.68",,,55.71072
,QO,20231229,20231229,20240105.0,23-Oct,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100012065,"BS76, BS147, BS235",NEMA11410001,SERVICE,nan,,,1,USD,"1,612.50","91,509.38",,,55.71072
,QO,20231229,20231229,20240108.0,IPG1578,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100012264,CI3753-54,NECC17410001,GRATINGS,nan,,,1,PHP,"1,455.29","1,455.29",,,
,QO,20231229,20231229,20240108.0,IPG1579,GV001,COMMISSIONER OF INTERNAL REVENUE,14118,HA01,HQ,100012264,CI3753-54,NECC17410001,GRATINGS,nan,,,2,PHP,"1,445.44","1,445.44",,,
